Dataset	Expression.file	Results.file	Phenodata.file	Array.type	Time.point	TCDD.dose	GEO.accession
cell.line.human.hepatocytes.48h.0.00001nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	0.00001 nM	GSE14553
cell.line.human.hepatocytes.48h.0.001nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	0.001 nM	GSE14553
cell.line.human.hepatocytes.48h.0.01nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	0.01 nM	GSE14553
cell.line.human.hepatocytes.48h.0.1nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	0.1 nM	GSE14553
cell.line.human.hepatocytes.48h.1nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	1 nM	GSE14553
cell.line.human.hepatocytes.48h.10nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	10 nM	GSE14553
cell.line.human.hepatocytes.48h.316nM	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Human Genome U133A Array	48 hours	316 nM	GSE14553
cell.line.rat.hepatocytes.48h.0.00001nM.female	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Rat Genome U34a Array	48 hours	0.00001 nM	GSE14554
cell.line.rat.hepatocytes.48h.0.001nM.female	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Rat Genome U34a Array	48 hours	0.001 nM	GSE14554
cell.line.rat.hepatocytes.48h.0.01nM.female	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Rat Genome U34a Array	48 hours	0.01 nM	GSE14554
cell.line.rat.hepatocytes.48h.0.1nM.female	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Rat Genome U34a Array	48 hours	0.1 nM	GSE14554
cell.line.rat.hepatocytes.48h.1nM.female	expression.txt.gz	results.txt.gz	phenodata.txt	Affymetrix Rat Genome U34a Array	48 hours	1 nM	GSE14554
