	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE2302_090309H_AO13_HW10D1.CEL	1	HW	TCDD	100	240	no
RAE2302_090309H_AO14_HW10D5.CEL	1	HW	Corn oil	0	240	no
RAE2302_090309H_AO15_HW10D8.CEL	2	HW	TCDD	100	240	no
RAE2302_090309H_AO16_HW10D9.CEL	3	HW	TCDD	100	240	no
RAE2302_090309H_AO17_HW10D10.CEL	2	HW	Corn oil	0	240	no
RAE2302_090309H_AO18_HW10D11.CEL	3	HW	Corn oil	0	240	no
RAE2302_090309H_AO19_HW10D13.CEL	4	HW	TCDD	100	240	no
RAE2302_090309H_AO20_HW10D14.CEL	4	HW	Corn oil	0	240	no
RAE2302_090309H_AO21_HW10D17.CEL	5	HW	Corn oil	0	240	no
RAE2302_090309H_AO22_HW10D18.CEL	5	HW	TCDD	100	240	no
