	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE2302_032307L_AO01_26LT.CEL	26	LE	TCDD	100	96	no
RAE2302_032307L_AO02_28LT.CEL	28	LE	TCDD	100	96	no
RAE2302_032307L_AO03_29LT.CEL	29	LE	TCDD	100	96	no
RAE2302_032307L_AO04_LE30T.CEL	30	LE	TCDD	100	96	no
RAE2302_032307L_AO05_32LC.CEL	32	LE	Corn oil	0	96	no
RAE2302_032307L_AO06_33LC.CEL	33	LE	Corn oil	0	96	no
RAE2302_032307L_AO07_34LC.CEL	34	LE	Corn oil	0	96	no
RAE2302_032307L_AO08_LE35C.CEL	35	LE	Corn oil	0	96	no
RAE2302_032307L_AO09_46LFR.CEL	46	LE	Corn oil	0	96	yes
RAE2302_032307L_AO10_47LFR.CEL	47	LE	Corn oil	0	96	yes
RAE2302_032307L_AO11_48LFR.CEL	48	LE	Corn oil	0	96	yes
RAE2302_032307L_AO12_49LFR.CEL	49	LE	Corn oil	0	96	yes
