	Animal.ID	Strain	Treatment	Dose	Time	FeedRestricted
RAE230_2_110204_LH_AO01T.CEL	1	LE	TCDD	100	240	yes
RAE230_2_110204_LH_AO02T.CEL	2	LE	TCDD	100	240	yes
RAE230_2_110204_LH_AO03T.CEL	3	LE	TCDD	100	240	yes
RAE230_2_110204_LH_AO04T.CEL	1	LE	Corn oil	0	240	no
RAE230_2_110204_LH_AO05T.CEL	2	LE	Corn oil	0	240	no
RAE230_2_110204_LH_AO06T.CEL	3	LE	Corn oil	0	240	no
RAE230_2_110204_LH_AO07T.CEL	1	LE	Corn oil	0	240	yes
RAE230_2_110204_LH_AO08T.CEL	2	LE	Corn oil	0	240	yes
RAE230_2_110304_LH_AO01T.CEL	4	LE	TCDD	100	240	yes
RAE230_2_110304_LH_AO02T.CEL	5	LE	TCDD	100	240	yes
RAE230_2_110304_LH_AO03T.CEL	4	LE	Corn oil	0	240	no
RAE230_2_110304_LH_AO04T.CEL	5	LE	Corn oil	0	240	no
RAE230_2_110304_LH_AO05T.CEL	3	LE	Corn oil	0	240	yes
RAE230_2_110304_LH_AO06T.CEL	4	LE	Corn oil	0	240	yes
RAE230_2_110304_LH_AO07T.CEL	5	LE	Corn oil	0	240	yes
