	Animal.ID	Strain	Treatment	Dose	Time
RaGene2_022118H_PB13_RL21C.CEL	RL21C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB14_RL22C.CEL	RL22C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB15_RL23C.CEL	RL23C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB16_RL24C.CEL	RL24C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB17_RL25C.CEL	RL25C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB18_RL26C.CEL	RL26C	Sprague-Dawley	PEG-400	0	10
RaGene2_022118H_PB19_RL27T.CEL	RL27T	Sprague-Dawley	C2	100	10
RaGene2_022118H_PB20_RL29T.CEL	RL29T	Sprague-Dawley	C2	100	10
RaGene2_022118H_PB21_RL36T.CEL	RL36T	Sprague-Dawley	C2	100	10
RaGene2_022118H_PB22_RL37T.CEL	RL37T	Sprague-Dawley	C2	100	10
RaGene2_022118H_PB23_RL38T.CEL	RL38T	Sprague-Dawley	C2	100	10
