	Animal.ID	Strain	Treatment	Dose	Time
RaGene2_022118H_PB1_RL675C.CEL	RL675C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB2_RL676C.CEL	RL676C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB3_RL677C.CEL	RL677C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB4_RL678C.CEL	RL678C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB5_RL679C.CEL	RL679C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB6_RL680C.CEL	RL680C	Sprague-Dawley	PEG-400	0	1
RaGene2_022118H_PB7_RL669T.CEL	RL669T	Sprague-Dawley	C2	100	1
RaGene2_022118H_PB8_RL670T.CEL	RL670T	Sprague-Dawley	C2	100	1
RaGene2_022118H_PB9_RL671T.CEL	RL671T	Sprague-Dawley	C2	100	1
RaGene2_022118H_PB10_RL672T.CEL	RL672T	Sprague-Dawley	C2	100	1
RaGene2_022118H_PB11_RL673T.CEL	RL673T	Sprague-Dawley	C2	100	1
RaGene2_022118H_PB12_RL674T.CEL	RL674T	Sprague-Dawley	C2	100	1
