	Animal.ID	Genotype	Treatment	Dose	Time
HTMoGene11_013112W_PB22_S364_si372.CEL	S372	INS	Corn oil	0	96
HTMoGene11_013112W_PB23_S364_si373.CEL	S373	INS	TCDD	1000	96
HTMoGene11_021312W_PB25_S364_si385.CEL	S385	INS	Corn oil	0	96
HTMoGene11_021312W_PB29_S364_si402.CEL	S402	INS	TCDD	1000	96
HTMoGene11_021312W_PB31_S364_si410.CEL	S410	INS	Corn oil	0	96
HTMoGene11_021312W_PB36_S364_si417.CEL	S417	INS	Corn oil	0	96
HTMoGene11_021312W_PB37_S364_si418.CEL	S418	INS	TCDD	1000	96
HTMoGene11_021312W_PB40_S364_si426.CEL	S426	INS	TCDD	1000	96
HTMoGene11_021312W_PB42_S364_si434.CEL	S434	INS	TCDD	1000	96
HTMoGene11_021312W_PB43_S364_si447.CEL	S447	INS	Corn oil	0	96
